team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
PAK,Iftikhar Ahmed (PAK),bowl,18,16,1,0.055555556,0.888888889,v Netherlands,Hyderabad,6-Oct-23,3,0,5.33,2,,,,,
NED,CN Ackermann (NED),bowl,18,16,1,0.055555556,0.888888889,v South Africa,Dharamsala,17-Oct-23,3,0,5.33,2,,,,,
NZ,MJ Henry (NZ),bowl,30,16,1,0.033333333,0.533333333,v Afghanistan,Chennai,18-Oct-23,5,2,3.2,2,,,,,
IND,RA Jadeja (IND),bowl,42,16,1,0.023809524,0.380952381,v England,Lucknow,29-Oct-23,7,1,2.28,2,,,,,
SA,K Rabada (SA),bowl,36,16,1,0.027777778,0.444444444,v New Zealand,Pune,1-Nov-23,6,2,2.66,2,,,,,
SA,L Ngidi (SA),bowl,48,18,1,0.020833333,0.375,v Australia,Lucknow,12-Oct-23,8,2,2.25,2,,,,,
AFG,Fazalhaq Farooqi (AFG),bowl,30,19,1,0.033333333,0.633333333,v Bangladesh,Dharamsala,7-Oct-23,5,0,3.8,2,,,,,
ENG,JE Root (ENG),bowl,24,19,1,0.041666667,0.791666667,v Afghanistan,Delhi,15-Oct-23,4,0,4.75,1,,,,,
ENG,CR Woakes (ENG),bowl,42,19,1,0.023809524,0.452380952,v Netherlands,Pune,8-Nov-23,7,0,2.71,2,,,,,
SL,PVD Chameera (SL),bowl,24,20,1,0.041666667,0.833333333,v New Zealand,Bengaluru,9-Nov-23,4,1,5,2,,,,,
SL,M Theekshana (SL),bowl,50,21,1,0.02,0.42,v England,Bengaluru,26-Oct-23,8.2,1,2.52,1,,,,,
AUS,MA Starc (AUS),bowl,24,22,1,0.041666667,0.916666667,v Netherlands,Delhi,25-Oct-23,4,0,5.5,2,,,,,
NED,CN Ackermann (NED),bowl,42,25,1,0.023809524,0.595238095,v Bangladesh,Eden Gardens,28-Oct-23,7,1,3.57,2,,,,,
NED,Saqib Zulfiqar (NED),bowl,18,25,1,0.055555556,1.388888889,v Afghanistan,Lucknow,3-Nov-23,3,0,8.33,2,,,,,
IND,Mohammed Siraj (IND),bowl,39,26,1,0.025641026,0.666666667,v Australia,Chennai,8-Oct-23,6.3,1,4,1,,,,,
NED,A Dutt (NED),bowl,60,26,1,0.016666667,0.433333333,v Bangladesh,Eden Gardens,28-Oct-23,10,3,2.6,2,,,,,
SA,KA Maharaj (SA),bowl,12,27,1,0.083333333,2.25,v England,Wankhede,21-Oct-23,2,0,13.5,2,,,,,
AUS,JR Hazlewood (AUS),bowl,36,27,1,0.027777778,0.75,v Netherlands,Delhi,25-Oct-23,6,0,4.5,2,,,,,
NED,RE van der Merwe (NED),bowl,30,27,1,0.033333333,0.9,v Afghanistan,Lucknow,3-Nov-23,5,0,5.4,2,,,,,
NZ,TG Southee (NZ),bowl,30,27,1,0.033333333,0.9,v Pakistan,Bengaluru,4-Nov-23,5,0,5.4,2,,,,,
BAN,Mustafizur Rahman (BAN),bowl,42,28,1,0.023809524,0.666666667,v Afghanistan,Dharamsala,7-Oct-23,7,1,4,1,,,,,
IND,HH Pandya (IND),bowl,18,28,1,0.055555556,1.555555556,v Australia,Chennai,8-Oct-23,3,0,9.33,1,,,,,
ENG,MA Wood (ENG),bowl,60,29,1,0.016666667,0.483333333,v Bangladesh,Dharamsala,10-Oct-23,10,0,2.9,2,,,,,
NED,LV van Beek (NED),bowl,36,30,1,0.027777778,0.833333333,v Pakistan,Hyderabad,6-Oct-23,6,0,5,1,,,,,
NED,LV van Beek (NED),bowl,54,30,1,0.018518519,0.555555556,v Bangladesh,Eden Gardens,28-Oct-23,9,1,3.33,2,,,,,
NED,LV van Beek (NED),bowl,42,30,1,0.023809524,0.714285714,v Afghanistan,Lucknow,3-Nov-23,7,0,4.28,2,,,,,
SA,KA Maharaj (SA),bowl,60,30,1,0.016666667,0.5,v India,Eden Gardens,5-Nov-23,10,0,3,1,,,,,
PAK,Mohammad Nawaz (3) (PAK),bowl,42,31,1,0.023809524,0.738095238,v Netherlands,Hyderabad,6-Oct-23,7,0,4.42,2,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,34,31,1,0.029411765,0.911764706,v Bangladesh,Dharamsala,7-Oct-23,5.4,0,5.47,2,,,,,
AUS,MA Starc (AUS),bowl,48,31,1,0.020833333,0.645833333,v India,Chennai,8-Oct-23,8,0,3.87,2,,,,,
IND,SN Thakur (IND),bowl,36,31,1,0.027777778,0.861111111,v Afghanistan,Delhi,11-Oct-23,6,0,5.16,1,,,,,
NZ,MJ Santner (NZ),bowl,60,31,1,0.016666667,0.516666667,v Bangladesh,Chennai,13-Oct-23,10,1,3.1,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,60,31,1,0.016666667,0.516666667,v Pakistan,Chennai,23-Oct-23,10,0,3.1,1,,,,,
BAN,Taskin Ahmed (BAN),bowl,36,32,1,0.027777778,0.888888889,v Afghanistan,Dharamsala,7-Oct-23,6,0,5.33,1,,,,,
SA,KA Maharaj (SA),bowl,60,32,1,0.016666667,0.533333333,v Bangladesh,Wankhede,24-Oct-23,10,0,3.2,2,,,,,
NZ,JDS Neesham (NZ),bowl,12,32,1,0.083333333,2.666666667,v Australia,Dharamsala,28-Oct-23,2,0,16,1,,,,,
ENG,LS Livingstone (ENG),bowl,60,33,1,0.016666667,0.55,v Afghanistan,Delhi,15-Oct-23,10,0,3.3,1,,,,,
IND,R Ashwin (IND),bowl,60,34,1,0.016666667,0.566666667,v Australia,Chennai,8-Oct-23,10,1,3.4,1,,,,,
PAK,Hasan Ali (PAK),bowl,36,34,1,0.027777778,0.944444444,v India,Ahmedabad,14-Oct-23,6,0,5.66,2,,,,,
NZ,R Ravindra (NZ),bowl,30,34,1,0.033333333,1.133333333,v Afghanistan,Chennai,18-Oct-23,5,0,6.8,2,,,,,
AUS,MP Stoinis (AUS),bowl,24,34,1,0.041666667,1.416666667,v England,Ahmedabad,4-Nov-23,4,0,8.5,2,,,,,
BAN,Mustafizur Rahman (BAN),bowl,48,36,1,0.020833333,0.75,v New Zealand,Chennai,13-Oct-23,8,0,4.5,2,,,,,
AUS,GJ Maxwell (AUS),bowl,57,36,1,0.01754386,0.631578947,v Sri Lanka,Lucknow,16-Oct-23,9.3,0,3.78,1,,,,,
SA,AL Phehlukwayo (SA),bowl,42,36,1,0.023809524,0.857142857,v Afghanistan,Ahmedabad,10-Nov-23,7,0,5.14,1,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,42,37,1,0.023809524,0.880952381,v Netherlands,Hyderabad,6-Oct-23,7,0,5.28,2,,,,,
AUS,JR Hazlewood (AUS),bowl,60,37,1,0.016666667,0.616666667,v Pakistan,Bengaluru,20-Oct-23,10,1,3.7,2,,,,,
NZ,MJ Santner (NZ),bowl,60,37,1,0.016666667,0.616666667,v India,Dharamsala,22-Oct-23,10,0,3.7,2,,,,,
BAN,Shakib Al Hasan (BAN),bowl,60,37,1,0.016666667,0.616666667,v Netherlands,Eden Gardens,28-Oct-23,10,1,3.7,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,42,37,1,0.023809524,0.880952381,v Sri Lanka,Pune,30-Oct-23,7,0,5.28,1,,,,,
BAN,Taskin Ahmed (BAN),bowl,36,38,1,0.027777778,1.055555556,v England,Dharamsala,10-Oct-23,6,0,6.33,1,,,,,
SA,KA Maharaj (SA),bowl,54,38,1,0.018518519,0.703703704,v Netherlands,Dharamsala,17-Oct-23,9,0,4.22,1,,,,,
SA,K Rabada (SA),bowl,36,38,1,0.027777778,1.055555556,v England,Wankhede,21-Oct-23,6,1,6.33,2,,,,,
NED,PA van Meekeren (NED),bowl,48,39,1,0.020833333,0.8125,v Sri Lanka,Lucknow,21-Oct-23,8,1,4.87,2,,,,,
NED,CN Ackermann (NED),bowl,50,39,1,0.02,0.78,v Sri Lanka,Lucknow,21-Oct-23,8.2,0,4.68,2,,,,,
NED,PA van Meekeren (NED),bowl,36,40,1,0.027777778,1.111111111,v Pakistan,Hyderabad,6-Oct-23,6,0,6.66,1,,,,,
IND,Kuldeep Yadav (IND),bowl,60,40,1,0.016666667,0.666666667,v Afghanistan,Delhi,11-Oct-23,10,0,4,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,40,1,0.016666667,0.666666667,v Netherlands,Lucknow,3-Nov-23,10,0,4,1,,,,,
ENG,AU Rashid (ENG),bowl,60,42,1,0.016666667,0.7,v Bangladesh,Dharamsala,10-Oct-23,10,0,4.2,2,,,,,
ENG,LS Livingstone (ENG),bowl,36,42,1,0.027777778,1.166666667,v Australia,Ahmedabad,4-Nov-23,6,0,7,1,,,,,
AFG,Rashid Khan (AFG),bowl,60,43,1,0.016666667,0.716666667,v New Zealand,Chennai,18-Oct-23,10,0,4.3,1,,,,,
SL,M Theekshana (SL),bowl,42,43,1,0.023809524,1.023809524,v New Zealand,Bengaluru,9-Nov-23,7,0,6.14,2,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,36,44,1,0.027777778,1.222222222,v England,Delhi,15-Oct-23,6,1,7.33,2,,,,,
SL,M Theekshana (SL),bowl,60,44,1,0.016666667,0.733333333,v Netherlands,Lucknow,21-Oct-23,10,0,4.4,1,,,,,
PAK,Hasan Ali (PAK),bowl,60,44,1,0.016666667,0.733333333,v Afghanistan,Chennai,23-Oct-23,10,1,4.4,2,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,54,44,1,0.018518519,0.814814815,v South Africa,Wankhede,24-Oct-23,9,0,4.88,1,,,,,
PAK,Iftikhar Ahmed (PAK),bowl,60,44,1,0.016666667,0.733333333,v Bangladesh,Eden Gardens,31-Oct-23,10,0,4.4,1,,,,,
PAK,Shadab Khan (PAK),bowl,48,45,1,0.020833333,0.9375,v Netherlands,Hyderabad,6-Oct-23,8,0,5.62,2,,,,,
IND,JJ Bumrah (IND),bowl,60,45,1,0.016666667,0.75,v New Zealand,Dharamsala,22-Oct-23,10,1,4.5,1,,,,,
IND,Mohammed Siraj (IND),bowl,60,45,1,0.016666667,0.75,v New Zealand,Dharamsala,22-Oct-23,10,1,4.5,1,,,,,
SA,L Ngidi (SA),bowl,46,45,1,0.02173913,0.97826087,v Pakistan,Chennai,27-Oct-23,7.4,0,5.86,1,,,,,
NZ,R Ravindra (NZ),bowl,60,46,1,0.016666667,0.766666667,v Netherlands,Hyderabad,9-Oct-23,10,0,4.6,2,,,,,
ENG,MA Wood (ENG),bowl,54,46,1,0.018518519,0.851851852,v India,Lucknow,29-Oct-23,9,1,5.11,1,,,,,
ENG,SM Curran (ENG),bowl,36,47,1,0.027777778,1.305555556,v New Zealand,Ahmedabad,5-Oct-23,6,2,7.83,2,,,,,
ENG,SM Curran (ENG),bowl,44,47,1,0.022727273,1.068181818,v Bangladesh,Dharamsala,10-Oct-23,7.2,0,6.4,2,,,,,
IND,Kuldeep Yadav (IND),bowl,60,47,1,0.016666667,0.783333333,v Bangladesh,Pune,19-Oct-23,10,0,4.7,1,,,,,
NZ,TA Boult (NZ),bowl,60,48,1,0.016666667,0.8,v England,Ahmedabad,5-Oct-23,10,1,4.8,1,,,,,
NED,A Dutt (NED),bowl,60,48,1,0.016666667,0.8,v Pakistan,Hyderabad,6-Oct-23,10,0,4.8,1,,,,,
SL,CAK Rajitha (SL),bowl,60,48,1,0.016666667,0.8,v Afghanistan,Pune,30-Oct-23,10,0,4.8,2,,,,,
ENG,DJ Willey (ENG),bowl,60,48,1,0.016666667,0.8,v Australia,Ahmedabad,4-Nov-23,10,1,4.8,1,,,,,
SA,K Rabada (SA),bowl,60,48,1,0.016666667,0.8,v India,Eden Gardens,5-Nov-23,10,1,4.8,1,,,,,
SA,L Ngidi (SA),bowl,48,49,1,0.020833333,1.020833333,v Sri Lanka,Delhi,7-Oct-23,8,1,6.12,2,,,,,
NZ,TA Boult (NZ),bowl,60,49,1,0.016666667,0.816666667,v South Africa,Pune,1-Nov-23,10,1,4.9,1,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,60,49,1,0.016666667,0.816666667,v Sri Lanka,Delhi,6-Nov-23,10,0,4.9,1,,,,,
AFG,Fazalhaq Farooqi (AFG),bowl,42,50,1,0.023809524,1.19047619,v England,Delhi,15-Oct-23,7,0,7.14,2,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,30,50,1,0.033333333,1.666666667,v Pakistan,Chennai,23-Oct-23,5,0,10,1,,,,,
AFG,Rashid Khan (AFG),bowl,60,50,1,0.016666667,0.833333333,v Sri Lanka,Pune,30-Oct-23,10,0,5,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,51,1,0.016666667,0.85,v South Africa,Ahmedabad,10-Nov-23,10,0,5.1,2,,,,,
BAN,Shakib Al Hasan (BAN),bowl,60,52,1,0.016666667,0.866666667,v England,Dharamsala,10-Oct-23,10,0,5.2,1,,,,,
ENG,RJW Topley (ENG),bowl,53,52,1,0.018867925,0.981132075,v Afghanistan,Delhi,15-Oct-23,8.5,1,5.88,1,,,,,
NZ,TG Southee (NZ),bowl,48,52,1,0.020833333,1.083333333,v Sri Lanka,Bengaluru,9-Nov-23,8,0,6.5,1,,,,,
SL,DN Wellalage (SL),bowl,56,53,1,0.017857143,0.946428571,v Australia,Lucknow,16-Oct-23,9.2,0,5.67,2,,,,,
BAN,Shakib Al Hasan (BAN),bowl,60,54,1,0.016666667,0.9,v New Zealand,Chennai,13-Oct-23,10,0,5.4,2,,,,,
PAK,Shadab Khan (PAK),bowl,48,55,1,0.020833333,1.145833333,v Sri Lanka,Hyderabad,10-Oct-23,8,0,6.87,1,,,,,
NZ,MJ Henry (NZ),bowl,54,55,1,0.018518519,1.018518519,v India,Dharamsala,22-Oct-23,9,0,6.11,2,,,,,
PAK,Iftikhar Ahmed (PAK),bowl,48,55,1,0.020833333,1.145833333,v New Zealand,Bengaluru,4-Nov-23,8,0,6.87,1,,,,,
AUS,GJ Maxwell (AUS),bowl,60,55,1,0.016666667,0.916666667,v Afghanistan,Wankhede,7-Nov-23,10,0,5.5,1,,,,,
SA,G Coetzee (SA),bowl,48,57,1,0.020833333,1.1875,v Netherlands,Dharamsala,17-Oct-23,8,0,7.12,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,57,1,0.016666667,0.95,v New Zealand,Chennai,18-Oct-23,10,0,5.7,1,,,,,
NED,PA van Meekeren (NED),bowl,60,57,1,0.016666667,0.95,v England,Pune,8-Nov-23,10,0,5.7,1,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,60,58,1,0.016666667,0.966666667,v Afghanistan,Chennai,23-Oct-23,10,0,5.8,2,,,,,
AUS,A Zampa (AUS),bowl,60,58,1,0.016666667,0.966666667,v Afghanistan,Wankhede,7-Nov-23,10,0,5.8,1,,,,,
SL,M Theekshana (SL),bowl,60,59,1,0.016666667,0.983333333,v Pakistan,Hyderabad,10-Oct-23,10,0,5.9,2,,,,,
IND,SN Thakur (IND),bowl,54,59,1,0.018518519,1.092592593,v Bangladesh,Pune,19-Oct-23,9,0,6.55,1,,,,,
NED,A Dutt (NED),bowl,42,59,1,0.023809524,1.404761905,v Australia,Delhi,25-Oct-23,7,0,8.42,1,,,,,
AUS,JR Hazlewood (AUS),bowl,54,60,1,0.018518519,1.111111111,v South Africa,Lucknow,12-Oct-23,9,0,6.66,1,,,,,
NZ,TA Boult (NZ),bowl,60,60,1,0.016666667,1,v India,Dharamsala,22-Oct-23,10,0,6,2,,,,,
PAK,Mohammad Nawaz (3) (PAK),bowl,54,62,1,0.018518519,1.148148148,v Sri Lanka,Hyderabad,10-Oct-23,9,0,6.88,1,,,,,
AUS,GJ Maxwell (AUS),bowl,60,62,1,0.016666667,1.033333333,v New Zealand,Dharamsala,28-Oct-23,10,0,6.2,2,,,,,
SA,L Ngidi (SA),bowl,50,63,1,0.02,1.26,v India,Eden Gardens,5-Nov-23,8.2,0,7.56,1,,,,,
NED,BFW de Leede (NED),bowl,60,64,1,0.016666667,1.066666667,v New Zealand,Hyderabad,9-Oct-23,10,0,6.4,1,,,,,
BAN,Hasan Mahmud (BAN),bowl,48,65,1,0.020833333,1.354166667,v India,Pune,19-Oct-23,8,0,8.12,2,,,,,
AUS,MA Starc (AUS),bowl,48,65,1,0.020833333,1.354166667,v Pakistan,Bengaluru,20-Oct-23,8,0,8.12,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,54,66,1,0.018518519,1.222222222,v Sri Lanka,Hyderabad,10-Oct-23,9,0,7.33,1,,,,,
PAK,Usama Mir (PAK),bowl,60,66,1,0.016666667,1.1,v Bangladesh,Eden Gardens,31-Oct-23,10,0,6.6,1,,,,,
NZ,MJ Henry (NZ),bowl,38,67,1,0.026315789,1.763157895,v Australia,Dharamsala,28-Oct-23,6.2,0,10.57,1,,,,,
BAN,Shakib Al Hasan (BAN),bowl,54,69,1,0.018518519,1.277777778,v South Africa,Wankhede,24-Oct-23,9,0,7.66,1,,,,,
NZ,JDS Neesham (NZ),bowl,33,69,1,0.03030303,2.090909091,v South Africa,Pune,1-Nov-23,5.3,0,12.54,1,,,,,
AUS,A Zampa (AUS),bowl,60,70,1,0.016666667,1.166666667,v South Africa,Lucknow,12-Oct-23,10,0,7,1,,,,,
AUS,MA Starc (AUS),bowl,54,70,1,0.018518519,1.296296296,v Afghanistan,Wankhede,7-Nov-23,9,0,7.77,1,,,,,
AUS,PJ Cummins (AUS),bowl,54,71,1,0.018518519,1.314814815,v South Africa,Lucknow,12-Oct-23,9,0,7.88,1,,,,,
SL,PVD Chameera (SL),bowl,60,71,1,0.016666667,1.183333333,v India,Wankhede,2-Nov-23,10,2,7.1,1,,,,,
SA,T Shamsi (SA),bowl,60,72,1,0.016666667,1.2,v India,Eden Gardens,5-Nov-23,10,0,7.2,1,,,,,
NZ,R Ravindra (NZ),bowl,60,76,1,0.016666667,1.266666667,v England,Ahmedabad,5-Oct-23,10,0,7.6,1,,,,,
BAN,Shoriful Islam (BAN),bowl,54,76,1,0.018518519,1.407407407,v South Africa,Wankhede,24-Oct-23,9,0,8.44,1,,,,,
SL,DN Wellalage (SL),bowl,60,81,1,0.016666667,1.35,v South Africa,Delhi,7-Oct-23,10,0,8.1,1,,,,,
PAK,Usama Mir (PAK),bowl,54,82,1,0.018518519,1.518518519,v Australia,Bengaluru,20-Oct-23,9,0,9.11,1,,,,,
PAK,Hasan Ali (PAK),bowl,60,82,1,0.016666667,1.366666667,v New Zealand,Bengaluru,4-Nov-23,10,0,8.2,1,,,,,
PAK,Haris Rauf (PAK),bowl,60,85,1,0.016666667,1.416666667,v New Zealand,Bengaluru,4-Nov-23,10,0,8.5,1,,,,,
SL,CAK Rajitha (SL),bowl,60,90,1,0.016666667,1.5,v South Africa,Delhi,7-Oct-23,10,1,9,1,,,,,
SL,M Pathirana (SL),bowl,54,90,1,0.018518519,1.666666667,v Pakistan,Hyderabad,10-Oct-23,9,0,10,2,,,,,
SA,M Jansen (SA),bowl,58,94,1,0.017241379,1.620689655,v India,Eden Gardens,5-Nov-23,9.4,0,9.72,1,,,,,
SL,M Pathirana (SL),bowl,60,95,1,0.016666667,1.583333333,v South Africa,Delhi,7-Oct-23,10,0,9.5,1,,,,,
NZ,DJ Mitchell (NZ),bowl,3,1,0,0,0.333333333,v Pakistan,Bengaluru,4-Nov-23,0.3,0,2,2,,,,,
IND,V Kohli (IND),bowl,3,2,0,0,0.666666667,v Bangladesh,Pune,19-Oct-23,0.3,0,4,1,,,,,
AUS,MP Stoinis (AUS),bowl,6,2,0,0,0.333333333,v Afghanistan,Wankhede,7-Nov-23,1,0,2,1,,,,,
IND,Kuldeep Yadav (IND),bowl,12,3,0,0,0.25,v Sri Lanka,Wankhede,2-Nov-23,2,0,1.5,2,,,,,
NZ,GD Phillips (NZ),bowl,6,3,0,0,0.5,v Sri Lanka,Bengaluru,9-Nov-23,1,0,3,1,,,,,
BAN,Najmul Hossain Shanto (BAN),bowl,6,5,0,0,0.833333333,v Pakistan,Eden Gardens,31-Oct-23,1,0,5,2,,,,,
AUS,MR Marsh (AUS),bowl,6,6,0,0,1,v South Africa,Lucknow,12-Oct-23,1,0,6,1,,,,,
BAN,Mahmudullah (BAN),bowl,6,6,0,0,1,v India,Pune,19-Oct-23,1,0,6,2,,,,,
BAN,Mahmudullah (BAN),bowl,6,7,0,0,1.166666667,v Afghanistan,Dharamsala,7-Oct-23,1,0,7,1,,,,,
IND,HH Pandya (IND),bowl,3,8,0,0,2.666666667,v Bangladesh,Pune,19-Oct-23,0.3,0,16,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,6,8,0,0,1.333333333,v South Africa,Ahmedabad,10-Nov-23,1,0,8,2,,,,,
NED,Vikramjit Singh (NED),bowl,6,9,0,0,1.5,v New Zealand,Hyderabad,9-Oct-23,1,0,9,1,,,,,
SL,KIC Asalanka (SL),bowl,6,10,0,0,1.666666667,v Pakistan,Hyderabad,10-Oct-23,1,0,10,2,,,,,
SL,DM de Silva (SL),bowl,6,10,0,0,1.666666667,v England,Bengaluru,26-Oct-23,1,0,10,1,,,,,
AUS,C Green (AUS),bowl,12,11,0,0,0.916666667,v India,Chennai,8-Oct-23,2,0,5.5,2,,,,,
NZ,GD Phillips (NZ),bowl,12,11,0,0,0.916666667,v Netherlands,Hyderabad,9-Oct-23,2,0,5.5,2,,,,,
AUS,MP Stoinis (AUS),bowl,12,11,0,0,0.916666667,v South Africa,Lucknow,12-Oct-23,2,0,5.5,1,,,,,
NZ,DJ Mitchell (NZ),bowl,6,11,0,0,1.833333333,v Bangladesh,Chennai,13-Oct-23,1,0,11,1,,,,,
AUS,MP Stoinis (AUS),bowl,12,11,0,0,0.916666667,v Sri Lanka,Lucknow,16-Oct-23,2,0,5.5,1,,,,,
SL,AD Mathews (SL),bowl,18,11,0,0,0.611111111,v India,Wankhede,2-Nov-23,3,0,3.66,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,18,11,0,0,0.611111111,v Netherlands,Lucknow,3-Nov-23,3,0,3.66,1,,,,,
IND,SN Thakur (IND),bowl,12,12,0,0,1,v Pakistan,Ahmedabad,14-Oct-23,2,0,6,1,,,,,
NZ,GD Phillips (NZ),bowl,12,12,0,0,1,v India,Dharamsala,22-Oct-23,2,0,6,2,,,,,
NED,CN Ackermann (NED),bowl,18,12,0,0,0.666666667,v Afghanistan,Lucknow,3-Nov-23,3,0,4,2,,,,,
AFG,Rahmat Shah (AFG),bowl,6,12,0,0,2,v South Africa,Ahmedabad,10-Nov-23,1,0,12,2,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,12,13,0,0,1.083333333,v England,Delhi,15-Oct-23,2,0,6.5,2,,,,,
SL,DM de Silva (SL),bowl,18,13,0,0,0.722222222,v Australia,Lucknow,16-Oct-23,3,0,4.33,2,,,,,
NZ,GD Phillips (NZ),bowl,18,13,0,0,0.722222222,v Afghanistan,Chennai,18-Oct-23,3,0,4.33,2,,,,,
SL,DM de Silva (SL),bowl,24,13,0,0,0.541666667,v Netherlands,Lucknow,21-Oct-23,4,0,3.25,1,,,,,
NED,Shariz Ahmad (NED),bowl,12,13,0,0,1.083333333,v Bangladesh,Eden Gardens,28-Oct-23,2,0,6.5,2,,,,,
IND,JJ Bumrah (IND),bowl,30,14,0,0,0.466666667,v South Africa,Eden Gardens,5-Nov-23,5,0,2.8,2,,,,,
NED,Saqib Zulfiqar (NED),bowl,12,15,0,0,1.25,v Pakistan,Hyderabad,6-Oct-23,2,0,7.5,1,,,,,
SL,C Karunaratne (SL),bowl,18,15,0,0,0.833333333,v Australia,Lucknow,16-Oct-23,3,0,5,2,,,,,
AUS,TM Head (AUS),bowl,18,15,0,0,0.833333333,v Afghanistan,Wankhede,7-Nov-23,3,0,5,1,,,,,
NED,Vikramjit Singh (NED),bowl,12,16,0,0,1.333333333,v Pakistan,Hyderabad,6-Oct-23,2,0,8,1,,,,,
ENG,LS Livingstone (ENG),bowl,18,17,0,0,0.944444444,v Sri Lanka,Bengaluru,26-Oct-23,3,0,5.66,2,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,24,17,0,0,0.708333333,v Netherlands,Eden Gardens,28-Oct-23,4,0,4.25,1,,,,,
NZ,R Ravindra (NZ),bowl,12,17,0,0,1.416666667,v South Africa,Pune,1-Nov-23,2,0,8.5,1,,,,,
SA,AK Markram (SA),bowl,12,17,0,0,1.416666667,v India,Eden Gardens,5-Nov-23,2,0,8.5,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,36,18,0,0,0.5,v Bangladesh,Dharamsala,7-Oct-23,6,1,3,2,,,,,
AUS,MR Marsh (AUS),bowl,12,18,0,0,1.5,v New Zealand,Dharamsala,28-Oct-23,2,0,9,2,,,,,
SL,AD Mathews (SL),bowl,18,18,0,0,1,v Afghanistan,Pune,30-Oct-23,3,0,6,2,,,,,
NED,A Dutt (NED),bowl,30,19,0,0,0.633333333,v South Africa,Dharamsala,17-Oct-23,5,1,3.8,2,,,,,
NED,CN Ackermann (NED),bowl,24,19,0,0,0.791666667,v Australia,Delhi,25-Oct-23,4,0,4.75,1,,,,,
BAN,Mahmudullah (BAN),bowl,18,20,0,0,1.111111111,v South Africa,Wankhede,24-Oct-23,3,0,6.66,1,,,,,
SA,AK Markram (SA),bowl,24,20,0,0,0.833333333,v Pakistan,Chennai,27-Oct-23,4,0,5,1,,,,,
SL,DM de Silva (SL),bowl,18,20,0,0,1.111111111,v Bangladesh,Delhi,6-Nov-23,3,0,6.66,2,,,,,
AFG,Mohammad Nabi (AFG),bowl,12,20,0,0,1.666666667,v Australia,Wankhede,7-Nov-23,2,0,10,2,,,,,
ENG,MM Ali (ENG),bowl,18,21,0,0,1.166666667,v Sri Lanka,Bengaluru,26-Oct-23,3,0,7,2,,,,,
SL,DM de Silva (SL),bowl,24,21,0,0,0.875,v Afghanistan,Pune,30-Oct-23,4,0,5.25,2,,,,,
PAK,Agha Salman (PAK),bowl,12,21,0,0,1.75,v New Zealand,Bengaluru,4-Nov-23,2,0,10.5,1,,,,,
PAK,Iftikhar Ahmed (PAK),bowl,24,22,0,0,0.916666667,v Sri Lanka,Hyderabad,10-Oct-23,4,0,5.5,1,,,,,
NED,RE van der Merwe (NED),bowl,18,22,0,0,1.222222222,v England,Pune,8-Nov-23,3,0,7.33,1,,,,,
SL,DM de Silva (SL),bowl,12,22,0,0,1.833333333,v New Zealand,Bengaluru,9-Nov-23,2,0,11,2,,,,,
ENG,MA Wood (ENG),bowl,24,23,0,0,0.958333333,v Sri Lanka,Bengaluru,26-Oct-23,4,0,5.75,2,,,,,
PAK,Iftikhar Ahmed (PAK),bowl,18,23,0,0,1.277777778,v South Africa,Chennai,27-Oct-23,3,0,7.66,2,,,,,
ENG,LS Livingstone (ENG),bowl,18,24,0,0,1.333333333,v New Zealand,Ahmedabad,5-Oct-23,3,0,8,2,,,,,
BAN,Shoriful Islam (BAN),bowl,24,25,0,0,1.041666667,v Pakistan,Eden Gardens,31-Oct-23,4,1,6.25,2,,,,,
SA,AK Markram (SA),bowl,27,25,0,0,0.925925926,v Afghanistan,Ahmedabad,10-Nov-23,4.3,0,5.55,1,,,,,
PAK,Iftikhar Ahmed (PAK),bowl,30,27,0,0,0.9,v Afghanistan,Chennai,23-Oct-23,5,0,5.4,2,,,,,
BAN,Nasum Ahmed (BAN),bowl,30,27,0,0,0.9,v South Africa,Wankhede,24-Oct-23,5,0,5.4,1,,,,,
NED,Vikramjit Singh (NED),bowl,24,27,0,0,1.125,v Australia,Delhi,25-Oct-23,4,0,6.75,1,,,,,
NED,CN Ackermann (NED),bowl,24,28,0,0,1.166666667,v New Zealand,Hyderabad,9-Oct-23,4,0,7,1,,,,,
